event_id,event_time,user_id,session_id,page_type,product_id,campaign_id,device,browser,session_duration_seconds
1,2020-12-22T23:18:21,4379,session_73044,home,,,desktop,Samsung Internet,1187
2,2021-10-14T12:38:07,2573,session_31769,product_detail,44,,tablet,Edge,1687
3,2022-02-19T06:23:40,,session_84396,product_detail,7,,tablet,Firefox,1054
4,2021-05-14T05:42:56,,session_94351,checkout,,,tablet,Safari,1463
5,2022-07-03T14:17:45,,session_71772,search,,,desktop,Firefox,548
6,2023-07-02T22:58:35,2805,session_83461,cart,,,desktop,Edge,565
7,2024-10-24T11:13:28,3382,session_47038,search,,,tablet,Samsung Internet,-1413
8,2020-09-25T22:34:14,,session_96052,product_detail,3,866,tablet,Safari,1464
9,2021-11-14T12:26:42,4672,session_29159,account,,,tablet,Safari,626
10,2024-05-26T07:31:47,4839,session_91535,checkout,,,desktop,Edge,364
11,2020-03-28T11:40:36,,session_88847,checkout,,,desktop,Chrome,1616
12,2024-08-20T11:13:30,2206,session_57098,search,,,desktop,Edge,1042
13,2021-11-24T04:12:08,4219,session_76601,category,,,desktop,Samsung Internet,1549
14,2021-09-15T13:39:23,,session_66273,category,,,mobile,Chrome,185
15,2024-05-01T04:12:45,,session_67255,search,,,mobile,Safari,591
16,2021-08-14T17:34:47,,session_84063,home,,,tablet,Samsung Internet,124
17,2030-01-01T00:00:00,93,session_51227,account,,,tablet,Safari,1676
18,2024-02-25T06:47:36,2896,session_81077,cart,,,desktop,Samsung Internet,1011
19,2023-09-07T13:03:55,2095,session_77344,account,,,desktop,Edge,105
20,2023-06-09T06:49:08,,session_74212,search,,,tablet,Safari,1631
21,2022-01-20T15:42:47,,session_27153,checkout,,,mobile,Edge,1756
22,2024-09-05T13:44:53,,session_34789,product_detail,46,848,mobile,Edge,732
23,2023-08-20T13:51:28,4014,session_43297,cart,,,desktop,Safari,1634
24,2020-06-01T12:02:59,,session_18068,home,,,desktop,Firefox,256
25,2021-10-04T22:05:23,,session_76033,account,,,mobile,Chrome,1064
26,2020-07-31T05:18:05,,session_14555,account,,,desktop,Chrome,1334
27,2021-10-21T22:25:43,,session_92255,product_detail,36,486,desktop,Edge,1606
28,2022-08-23T03:26:50,,session_4371,cart,,,mobile,Safari,1446
29,2024-04-02T15:24:26,4330,session_47842,category,,,tablet,Safari,1209
30,2021-03-21T22:26:00,,session_64942,account,,,desktop,Edge,1516
31,2023-09-25T19:49:53,,session_92806,cart,,,desktop,Samsung Internet,1256
32,2020-03-01T04:17:50,,session_17053,product_detail,20,,tablet,Samsung Internet,1541
33,2024-03-19T12:21:52,4947,session_79796,category,,,mobile,Safari,632
34,2023-08-24T17:16:56,,session_69017,account,,,tablet,Edge,311
35,2023-04-07T10:52:36,729,session_82988,cart,,,tablet,Chrome,1514
36,2024-09-23T10:02:26,,session_12557,account,,,desktop,Samsung Internet,1797
37,2022-12-06T04:56:05,1301,session_85029,home,,,tablet,Firefox,366
38,2022-06-07T08:24:38,2137,session_83423,product_detail,33,444,mobile,Samsung Internet,1625
39,2020-02-21T19:24:09,,session_12841,checkout,,,desktop,Firefox,126
40,2020-11-19T06:26:55,2753,session_75288,product_detail,15,,mobile,Edge,1494
41,2020-09-02T11:46:17,,session_54175,product_detail,62,,mobile,Firefox,1711
42,2021-01-08T11:00:41,,session_96239,product_detail,10,,mobile,Chrome,851
43,2020-05-13T06:31:44,,session_35872,cart,,,tablet,Chrome,1482
44,2020-05-22T18:00:17,,session_54237,product_detail,54,,desktop,Edge,575
45,2024-12-18T11:35:08,,session_45167,home,,,tablet,Firefox,1530
46,2020-10-23T03:55:17,1173,session_61701,account,,,mobile,Edge,980
47,2020-05-12T16:18:07,,session_26690,product_detail,9,,mobile,Chrome,1656
48,2021-11-14T23:44:31,,session_59546,product_detail,28,,tablet,Firefox,174
49,2020-08-12T16:00:55,4500,session_3620,cart,,,desktop,Edge,1725
50,2022-04-19T15:03:22,,session_27385,home,,,desktop,Firefox,1442
51,2021-09-05T09:55:59,,session_78380,cart,,,mobile,Firefox,-880
52,2021-07-12T07:07:08,3927,session_2204,account,,,tablet,Firefox,1538
53,2024-04-06T04:15:11,3146,session_65,account,,,,,534
54,2024-12-26T14:03:42,4728,session_58926,checkout,,,tablet,Edge,1552
55,2021-05-24T18:19:57,,session_67931,category,,,desktop,Chrome,558
56,2022-08-10T00:39:45,,session_86054,checkout,,,desktop,Chrome,467
57,2021-10-02T20:25:46,,session_80749,search,,,desktop,Firefox,1134
58,2024-07-01T10:23:16,,session_60689,checkout,,,mobile,Chrome,1563
59,2021-01-28T21:02:07,,session_74212,account,,,desktop,Safari,961
60,2020-08-12T00:05:50,,session_27321,account,,,tablet,Edge,1635
61,2024-01-25T17:14:57,,session_98677,account,,,desktop,Edge,1694
62,2021-07-26T04:30:07,,session_89105,product_detail,57,,tablet,Samsung Internet,361
63,2020-04-10T11:40:51,,session_94609,home,,,mobile,Samsung Internet,275
64,2020-01-25T01:16:34,,session_83537,category,,,mobile,Chrome,92
65,2022-02-19T06:32:36,,session_67873,search,,,mobile,Safari,160
66,2022-08-13T17:52:00,2595,session_42123,checkout,,,tablet,Edge,1408
67,2024-12-09T14:36:20,3635,session_57892,account,,,mobile,Safari,1392
68,2020-11-09T20:32:52,,session_6632,product_detail,39,1176,tablet,Safari,435
69,2022-04-29T13:04:22,,session_35450,checkout,,,mobile,Chrome,1656
70,2023-02-05T17:34:38,2142,session_20344,checkout,,,desktop,Chrome,885
71,2024-12-15T22:48:36,277,session_52381,product_detail,8,99,desktop,Edge,550
72,2023-11-30T21:56:12,3999,session_50617,home,,,mobile,Chrome,1252
73,2021-08-20T04:57:49,,session_82420,account,,,desktop,Samsung Internet,931
74,2021-03-31T05:57:26,3366,session_42393,cart,,,mobile,Safari,873
75,2022-05-08T04:05:51,,session_27432,home,,,tablet,Edge,1288
76,2020-04-23T17:02:28,,session_80391,home,,,desktop,Samsung Internet,595
77,2023-02-26T05:37:46,,session_33850,cart,,,mobile,Safari,1650
78,2024-03-16T17:09:18,2134,session_1703,category,,,tablet,Samsung Internet,258
79,2024-06-01T20:54:24,,session_98935,account,,,desktop,Firefox,1653
80,2023-04-06T19:35:46,,session_19014,product_detail,47,,tablet,Edge,525
81,2024-10-17T04:47:06,369,session_95956,cart,,,tablet,Firefox,947
82,2023-12-24T20:27:07,2302,session_32909,category,,,tablet,Safari,1729
83,2020-02-02T07:41:32,,session_69272,home,,,tablet,Edge,926
84,2024-03-25T14:09:48,2770,session_78202,product_detail,22,,mobile,Chrome,173
85,2020-03-03T00:18:50,,session_23124,product_detail,37,732,desktop,Firefox,1612
86,2022-04-02T01:45:00,,session_56455,checkout,,,tablet,Samsung Internet,98
87,2024-09-19T12:52:12,666,session_97894,checkout,,,desktop,Chrome,1609
88,2022-07-18T08:32:33,,session_93232,checkout,,,desktop,Chrome,490
89,2024-09-16T03:02:10,1657,session_45595,home,,,tablet,Edge,1083
90,2020-08-01T20:26:01,,session_30054,category,,,desktop,Edge,-961
91,2021-11-08T21:28:55,,session_50921,search,,,desktop,Firefox,79
92,2024-05-05T12:53:25,,session_69176,home,,,mobile,Chrome,1193
93,2020-03-30T04:01:50,,session_35234,cart,,,mobile,Safari,1142
94,2024-01-12T11:16:43,,session_22735,category,,,desktop,Samsung Internet,1540
95,2023-01-28T00:09:35,,session_90924,search,,,tablet,Edge,442
96,2023-08-29T10:41:26,,session_18562,account,,,desktop,Edge,1153
97,2024-08-29T23:22:22,,session_66170,account,,,desktop,Safari,102
98,2024-06-13T22:33:05,,session_13631,search,,,desktop,Safari,891
99,2021-07-13T03:42:48,,session_69713,category,,,tablet,Samsung Internet,807
100,2021-05-26T03:33:38,,session_96103,product_detail,20,,,,1310
101,2020-01-20T20:02:35,,session_99302,account,,,desktop,Firefox,1254
102,2020-04-17T00:51:57,,session_73281,product_detail,60,,,,600
103,2021-09-17T11:18:42,,session_93756,home,,,tablet,Firefox,1066
104,2024-06-02T10:32:29,,session_20247,home,,,desktop,Safari,1503
105,2020-09-22T09:58:16,,session_15014,checkout,,,mobile,Chrome,980
106,2020-06-16T20:58:17,,session_50393,product_detail,21,,mobile,Samsung Internet,118
107,2023-11-08T06:46:03,,session_71805,checkout,,,tablet,Chrome,1743
108,2022-05-28T16:06:50,,session_64821,account,,,tablet,Samsung Internet,350
109,2024-12-25T07:57:47,,session_16038,category,,,desktop,Safari,583
110,2024-11-12T19:44:03,,session_52768,search,,,desktop,Samsung Internet,839
111,2022-08-29T12:42:40,,session_46375,search,,,mobile,Samsung Internet,986
112,2023-10-31T22:03:20,,session_86277,checkout,,,mobile,Edge,1711
113,2021-10-24T18:06:16,371,session_3377,cart,,,tablet,Samsung Internet,359
114,2022-12-04T06:06:23,,session_69733,search,,,desktop,Chrome,1191
115,2022-10-02T23:44:59,4701,session_57480,home,,,mobile,Chrome,1097
116,2021-03-02T06:58:04,,session_30409,cart,,,desktop,Chrome,1060
117,2022-12-02T23:05:34,,session_47011,category,,,desktop,Edge,249
118,2021-01-10T01:32:26,,session_90334,category,,,desktop,Samsung Internet,1264
119,2023-07-01T11:52:09,,session_47878,checkout,,,desktop,Samsung Internet,1434
120,2030-01-01T00:00:00,877,session_22896,search,,,mobile,Chrome,1296
121,2020-06-12T09:43:50,,session_14927,search,,,desktop,Chrome,1176
122,2023-04-04T00:07:31,,session_83753,product_detail,40,,desktop,Edge,1183
123,2022-10-28T15:43:38,,session_73250,checkout,,,desktop,Safari,350
124,2023-01-19T20:25:54,,session_96246,product_detail,5,,mobile,Chrome,586
125,2021-02-08T15:38:30,1779,session_5782,search,,,mobile,Safari,1787
126,2023-03-19T01:18:13,,session_80680,checkout,,,tablet,Edge,159
127,2020-09-09T01:22:34,,session_87498,checkout,,,tablet,Edge,1240
128,2024-11-07T19:22:48,2934,session_96123,search,,,tablet,Safari,1355
129,2030-01-01T00:00:00,,session_52895,account,,,tablet,Safari,738
