transaction_id,user_id,product_id,transaction_date,quantity,price,subtotal,tax,shipping,discount,discount_code,total,payment_method,status,campaign_id,created_at
1,1,14,2023-04-16T00:00:00,1,1019,2479,198.32,0,0,,2677.32,debit_card,completed,411,2023-04-16T00:00:00
1,1,11,2023-04-16T00:00:00,1,245,2479,198.32,0,0,,2677.32,debit_card,completed,411,2023-04-16T00:00:00
1,1,30,2023-04-16T00:00:00,1,90,2479,198.32,0,0,,2677.32,debit_card,completed,411,2023-04-16T00:00:00
1,1,8,2023-04-16T00:00:00,1,924,2479,198.32,0,0,,2677.32,debit_card,completed,411,2023-04-16T00:00:00
1,1,9,2023-04-16T00:00:00,1,201,2479,198.32,0,0,,2677.32,debit_card,completed,411,2023-04-16T00:00:00
2,1,40,2024-12-30T00:00:00,1,313,313,25.04,0,0,,338.04,apple_pay,completed,,2024-12-30T00:00:00
3,1,61,2022-06-28T00:00:00,1,49,445,35.6,0,0,,480.6,apple_pay,completed,,2022-06-28T00:00:00
3,1,11,2022-06-28T00:00:00,1,245,445,35.6,0,0,,480.6,apple_pay,completed,,2022-06-28T00:00:00
3,1,15,2022-06-28T00:00:00,1,151,445,35.6,0,0,,480.6,apple_pay,completed,,2022-06-28T00:00:00
4,1,9,2024-09-17T00:00:00,1,201,446,35.68,0,0,,481.68,credit_card,cancelled,115,2024-09-17T00:00:00
4,1,11,2024-09-17T00:00:00,1,245,446,35.68,0,0,,481.68,credit_card,cancelled,115,2024-09-17T00:00:00
5,2,49,2024-08-01T00:00:00,1,72,72,5.76,0,0,,77.76,paypal,completed,,2024-08-01T00:00:00
6,2,14,2023-12-06T00:00:00,1,1019,1151,92.08,0,0,,1243.08,paypal,completed,,2023-12-06T00:00:00
6,2,1,2023-12-06T00:00:00,1,132,1151,92.08,0,0,,1243.08,paypal,completed,,2023-12-06T00:00:00
7,3,52,2024-03-19T00:00:00,1,10,1347,107.76,0,0,,1454.76,debit_card,completed,334,2024-03-19T00:00:00
7,3,54,2024-03-19T00:00:00,1,31,1347,107.76,0,0,,1454.76,debit_card,completed,334,2024-03-19T00:00:00
7,3,6,2024-03-19T00:00:00,1,1306,1347,107.76,0,0,,1454.76,debit_card,completed,334,2024-03-19T00:00:00
8,3,56,2024-10-24T00:00:00,1,15,15,1.2,8.0,0,,24.2,credit_card,completed,51,2024-10-24T00:00:00
9,3,6,2024-10-03T00:00:00,1,1306,1359,108.72,0,0,,1467.72,credit_card,completed,,2024-10-03T00:00:00
9,3,17,2024-10-03T00:00:00,1,53,1359,108.72,0,0,,1467.72,credit_card,completed,,2024-10-03T00:00:00
10,4,29,2022-09-26T00:00:00,1,174,174,13.92,0,0,,187.92,google_pay,completed,,2022-09-26T00:00:00
11,4,9,2022-01-25T00:00:00,1,201,201,16.08,0,0,,217.07999999999998,google_pay,completed,,2022-01-25T00:00:00
12,4,14,2022-02-22T00:00:00,1,1019,3537,282.96,0,837.77,SAVE10,2982.19,credit_card,completed,439,2022-02-22T00:00:00
12,4,2,2022-02-22T00:00:00,1,670,3537,282.96,0,837.77,SAVE10,2982.19,credit_card,completed,439,2022-02-22T00:00:00
12,4,8,2022-02-22T00:00:00,1,924,3537,282.96,0,837.77,SAVE10,2982.19,credit_card,completed,439,2022-02-22T00:00:00
12,4,8,2022-02-22T00:00:00,1,924,3537,282.96,0,837.77,SAVE10,2982.19,credit_card,completed,439,2022-02-22T00:00:00
13,4,50,2024-07-07T00:00:00,1,165,847,67.76,0,0,,-914.76,google_pay,completed,789,2024-07-07T00:00:00
13,4,41,2024-07-07T00:00:00,1,-268,847,67.76,0,0,,-914.76,google_pay,completed,789,2024-07-07T00:00:00
13,4,44,2024-07-07T00:00:00,1,430,847,67.76,0,0,,-914.76,google_pay,completed,789,2024-07-07T00:00:00
13,4,47,2024-07-07T00:00:00,1,252,847,67.76,0,0,,-914.76,google_pay,completed,789,2024-07-07T00:00:00
14,5,28,2024-11-03T00:00:00,1,98,319,25.52,0,0,,344.52,paypal,completed,,2024-11-03T00:00:00
