campaign_id,campaign_name,campaign_type,platform,product_id,start_date,end_date,budget,actual_spend,impressions,clicks,created_at
1,Search - Instagram - Feb2021,Search,Instagram,21,2021-02-19,2021-03-04,85908,91108.14,28367578,1034671,2021-02-17T00:00:00
2,Search - Instagram - Feb2021,Search,Instagram,31,2021-02-19,2021-03-04,85908,91108.14,28367578,1034671,2021-02-13T00:00:00
3,Search - Instagram - Feb2021,Search,Instagram,63,2021-02-19,2021-03-04,85908,91108.14,28367578,1034671,2021-02-07T00:00:00
4,Video - Google - Sep2021,Video,Google,1,2021-09-07,2021-11-27,76272,78603.25,32998152,1101663,2021-09-01T00:00:00
5,Video - Google - Sep2021,Video,Google,43,2021-09-07,2021-11-27,76272,78603.25,32998152,1101663,2021-09-02T00:00:00
6,Video - Google - Sep2021,Video,Google,10,2021-09-07,2021-11-27,76272,78603.25,32998152,1101663,2021-09-02T00:00:00
7,Video - Google - Sep2021,Video,Google,7,2021-09-07,2021-11-27,76272,78603.25,32998152,1101663,2021-09-04T00:00:00
8,Video - Google - Sep2021,Video,Google,44,2021-09-07,2021-11-27,76272,78603.25,32998152,1101663,2021-08-31T00:00:00
9,Search - Google - Aug2024,Search,Google,31,2024-08-21,2024-10-07,18125,21426.75,3426931,206891,2024-08-12T00:00:00
10,Search - Google - Aug2024,Search,Google,4,2024-08-21,2024-10-07,18125,21426.75,3426931,206891,2024-08-20T00:00:00
11,Search - Google - Aug2024,Search,Google,50,2024-08-21,2024-10-07,18125,21426.75,3426931,206891,2024-08-10T00:00:00
12,Search - Google - Feb2021,Search,Google,50,2021-02-10,2021-04-24,92007,103197.67,15428199,476484,2021-02-07T00:00:00
13,Search - Google - Feb2021,Search,Google,17,2021-02-10,2021-04-24,92007,103197.67,15428199,476484,2021-02-02T00:00:00
14,Search - Google - Feb2021,Search,Google,42,2021-02-10,2021-04-24,92007,103197.67,15428199,476484,2021-02-01T00:00:00
15,Search - Google - Feb2021,Search,Google,35,2021-02-10,2021-04-24,92007,103197.67,15428199,476484,2021-02-06T00:00:00
16,Influencer - Facebook - Oct2020,Influencer,Facebook,46,2020-10-18,2020-10-30,10639,8716.94,1440577,28531,2020-10-15T00:00:00
17,Influencer - Facebook - Oct2020,Influencer,Facebook,51,2020-10-18,2020-10-30,10639,8716.94,1440577,28531,2020-10-15T00:00:00
18,Social Media - Google - Nov2020,Social Media,Google,27,2020-11-19,2020-12-25,32567,33696.65,10660951,650042,2020-11-17T00:00:00
19,Social Media - Google - Nov2020,Social Media,Google,42,2020-11-19,2020-12-25,32567,33696.65,10660951,650042,2020-11-10T00:00:00
20,Social Media - Google - Nov2020,Social Media,Google,58,2020-11-19,2020-12-25,32567,33696.65,10660951,650042,2020-11-08T00:00:00
21,Social Media - Google - Nov2020,Social Media,Google,45,2020-11-19,2020-12-25,32567,33696.65,10660951,650042,2020-11-17T00:00:00
22,Social Media - Google - Nov2020,Social Media,Google,22,2020-11-19,2020-12-25,32567,33696.65,10660951,650042,2020-11-14T00:00:00
23,Email - Facebook - Apr2022,Email,Facebook,62,2022-04-24,2022-07-15,8858,9100.14,1664253,68554,2022-04-22T00:00:00
24,Email - Facebook - Apr2022,Email,Facebook,22,2022-04-24,2022-07-15,8858,9100.14,1664253,68554,2022-04-23T00:00:00
25,Email - Facebook - Apr2022,Email,Facebook,32,2022-04-24,2022-07-15,8858,9100.14,1664253,68554,2022-04-12T00:00:00
26,Display - TikTok - Mar2023,Display,TikTok,28,2023-03-15,2023-04-01,28588,26904.92,1807754,79555,2023-03-03T00:00:00
27,Email - Google - Apr2021,Email,Google,28,2021-04-11,2021-05-04,3747,3017.64,1508438,91343,2021-04-06T00:00:00
28,Email - Google - Apr2021,Email,Google,9,2021-04-11,2021-05-04,3747,3017.64,1508438,91343,2021-03-31T00:00:00
29,Email - Google - Apr2021,Email,Google,45,2021-04-11,2021-05-04,3747,3017.64,1508438,91343,2021-03-31T00:00:00
30,Search - Instagram - Sep2022,Search,Instagram,4,2022-09-17,2022-11-17,7854,9069.56,607364,30218,2022-09-03T00:00:00
